Nr	Alter	Geschlecht	Verheiratet	Onlinebewerbung	Uniabschluss	Letztes_Brutto	Berufserfahrung_in_Jahren	Gehaltsvorstellung	Fremdsprachen	Nationalitaet	Test1	Test2	Test3	Personalverantwortung
1	38	1	0	0	0	32250	18	38000	0	0	36	29	46	0
2	26	0	1	1	0	28435	5	32500	0	0	42	29	41	1
3	35	0	0	0	1	30394	13	36000	1	0	79	30	44	0
4	29	1	0	1	0	31176	7	32000	1	0	21	73	40	0
5	32	0	1	0	0	26922	10	31000	1	1	65	59	39	0
6	45	1	1	0	0	29681	31	35000	0	0	56	86	43	0
7	36	0	0	0	1	43253	16	50000	2	0	55	27	58	0
8	31	1	0	1	0	32773	10	37000	2	0	86	67	45	0
9	38	1	0	0	0	31014	25	37000	1	0	31	67	45	0
10	31	1	0	0	0	26735	10	27000	1	0	55	97	35	0
11	48	0	1	0	0	31265	30	44500	0	0	86	25	53	1
12	31	0	0	1	0	31288	9	30000	3	0	25	34	38	0
13	42	0	0	0	1	32495	29	43500	3	0	80	42	52	1
14	37	1	0	0	0	26755	15	22000	1	1	26	39	30	0
15	46	0	1	1	1	39705	32	47000	1	0	96	33	55	0
16	31	0	0	1	0	34739	12	39000	3	0	49	35	47	0
17	34	1	1	1	0	25606	12	21000	2	0	97	61	29	0
18	41	0	0	0	0	27763	21	32000	1	0	58	92	40	0
19	38	0	0	0	0	34764	20	32000	1	0	28	63	40	0
20	45	0	0	1	0	29841	28	36000	2	0	70	31	44	0
21	36	0	0	0	1	36024	16	51500	2	0	46	86	60	1
22	49	0	0	0	0	33891	34	50500	0	0	86	71	59	1
23	49	0	0	1	0	31030	28	43500	3	0	78	92	52	1
24	31	0	0	1	1	41128	10	48000	1	1	28	73	56	0
25	30	0	0	1	0	29972	10	43500	1	0	89	89	52	1
26	43	0	0	0	1	44803	29	47000	1	0	61	25	55	0
27	31	1	1	1	0	29430	11	34500	1	0	35	82	43	1
28	48	1	0	0	0	25853	29	35500	2	1	97	41	44	1
29	27	1	0	0	0	31050	6	28000	2	0	79	92	36	0
30	27	1	0	1	0	34797	5	31000	1	0	47	79	39	0
31	46	0	1	1	0	26262	24	30500	2	0	53	69	39	1
32	31	1	0	1	0	31574	11	37000	0	0	82	32	45	0
33	38	0	0	0	0	31729	20	36000	0	0	94	46	44	0
34	33	1	0	1	0	26860	10	41500	2	0	81	46	50	1
35	30	1	0	1	0	29528	9	45500	2	1	28	53	54	1
36	42	1	0	0	1	37296	21	44000	0	0	88	64	52	0
37	48	0	1	0	1	37633	29	40000	1	0	40	22	48	0
38	31	1	0	1	1	34941	11	41000	3	0	82	35	49	0
39	33	0	0	1	0	25214	13	28000	1	0	38	36	36	0
40	47	1	0	1	0	32911	26	40500	2	0	41	63	49	1
41	39	0	1	1	0	26715	18	30000	2	0	79	85	38	0
42	50	0	1	1	1	49208	29	61500	1	1	61	46	70	1
43	29	0	0	1	0	25587	10	39500	2	0	56	49	48	1
44	26	0	0	0	1	34417	3	43000	0	0	52	27	51	0
45	33	1	0	0	0	30918	13	28000	0	0	69	37	36	0
46	25	0	0	1	0	26241	6	37500	1	0	42	42	46	1
47	40	1	0	1	0	27195	18	23000	3	0	51	52	31	0
48	31	1	1	1	0	29156	9	29000	2	1	92	25	37	0
49	34	0	0	0	1	31190	13	38000	2	0	87	79	46	0
50	48	0	0	0	0	34485	33	39000	2	0	62	63	47	0
51	50	0	0	0	0	32878	29	30000	3	0	80	88	38	0
52	46	0	0	0	1	34844	25	40000	2	0	86	46	48	0
53	47	0	0	0	0	27259	25	41500	1	1	65	74	50	1
54	33	1	0	0	0	33275	14	32000	3	0	26	80	40	0
55	31	1	1	0	0	26208	8	33000	1	0	54	57	41	0
56	29	0	0	1	1	30542	7	32000	0	0	43	31	40	0
57	36	1	1	0	0	27527	21	32000	0	0	49	75	40	0
58	44	0	0	0	0	26764	27	25000	2	2	69	85	33	0
59	43	0	1	0	0	32081	28	42500	3	0	82	79	51	1
60	45	1	0	0	1	39694	25	46000	2	0	71	55	54	0
61	39	0	1	0	0	31382	22	35000	3	0	36	71	43	0
62	34	1	0	0	0	25105	12	29000	1	0	81	93	37	0
63	46	0	1	1	0	34455	23	34000	2	0	46	27	42	0
64	40	1	0	1	0	33022	23	38000	2	0	27	58	46	0
65	46	1	1	0	0	25918	31	27000	2	0	25	54	35	0
66	41	0	0	1	0	27430	21	32500	2	0	96	64	41	1
67	47	1	0	0	1	41432	25	47000	2	0	53	94	55	0
68	29	0	0	1	0	26582	9	37500	1	0	84	82	46	1
69	45	0	1	0	1	33952	23	45500	1	0	100	100	54	1
70	28	0	0	1	0	29332	5	45500	0	0	81	79	54	1
71	48	1	1	0	0	27663	28	39500	1	0	78	39	48	1
72	34	1	0	1	1	39706	14	52500	0	0	85	79	61	1
73	29	1	0	1	0	32025	9	34000	1	2	91	23	42	0
74	32	1	0	1	0	31905	9	39500	2	0	87	70	48	1
75	46	0	0	0	0	27697	31	24000	2	0	58	34	32	0
76	41	1	0	0	0	29439	111	43500	0	0	69	84	52	1
77	28	0	0	0	0	29273	5	43500	1	0	85	70	52	1
78	45	0	0	0	0	30822	22	37000	0	0	80	44	45	0
79	42	0	0	0	0	32773	23	38000	1	0	69	86	46	0
80	35	1	0	0	0	33642	14	37000	1	0	51	75	45	0
81	44	0	0	0	1	49768	30	58000	0	0	73	37	66	0
82	26	0	0	1	0	26537	4	40500	2	0	81	28	49	1
83	36	0	0	0	0	33733	16	34000	0	0	90	66	42	0
84	46	1	0	0	0	27349	27	35500	2	2	99	59	44	1
85	37	1	0	0	0	27912	19	28000	0	0	53	86	36	0
86	41	1	1	0	0	26570	24	41500	2	0	65	57	50	1
87	37	0	1	1	0	32444	24	36500	2	0	25	20	45	1
88	48	0	0	1	1	37595	26	53500	0	0	25	73	62	1
89	38	0	1	0	0	26084	25	33500	1	0	61	21	42	1
90	26	0	0	1	0	32626	6	45500	1	2	52	26	54	1
91	28	0	0	1	0	27541	7	34500	1	0	23	45	43	1
92	34	0	0	0	1	43058	13	53500	1	0	46	41	62	1
93	41	1	0	0	0	26853	28	40500	2	0	62	80	49	1
94	31	0	0	1	0	27475	11	29000	1	0	36	49	37	0
95	49	0	1	0	0	29479	32	43500	3	0	25	65	52	1
96	31	1	1	1	0	28645	10	34500	0	0	73	79	43	1
97	45	0	0	0	1	31868	23	45500	2	0	93	30	54	1
98	49	0	0	1	0	30741	29	34000	2	0	55	49	42	0
99	34	0	0	1	0	32530	15	30000	1	0	87	69	38	0
100	30	0	1	0	0	27039	10	30500	2	0	60	41	39	1
101	27	0	0	1	0	28122	4	27000	1	0	84	64	35	0
102	40	0	0	0	0	27707	23	34000	2	0	92	28	42	0
103	40	0	0	0	0	28430	22	28000	2	2	36	63	36	0
104	34	0	0	1	0	34736	13	37000	0	0	41	97	45	0
105	50	0	1	0	1	44325	29	57500	1	0	84	84	66	1
106	46	1	0	0	0	34665	24	33000	0	1	21	36	41	0
107	44	0	0	0	0	32531	21	38000	2	0	43	67	46	0
108	26	0	0	1	0	32056	6	37000	0	0	22	93	45	0
109	27	0	1	1	0	27555	7	34000	1	0	78	34	42	0
110	25	0	0	1	1	49864	5	61500	2	0	47	40	70	1
111	35	0	0	0	1	45298	14	58500	1	0	61	75	67	1
112	34	1	1	1	0	29908	12	37500	1	0	77	25	46	1
113	29	1	0	1	0	30732	8	35000	2	0	32	51	43	0
114	34	0	0	1	1	43333	12	50000	2	0	25	44	58	0
115	36	0	0	0	1	35872	20	39000	2	0	71	32	47	0
116	30	1	0	1	1	48828	9	55000	2	0	22	70	63	0
117	25	0	0	0	0	30806	3	27000	0	0	62	51	35	0
118	48	0	0	0	1	35316	32	40000	1	2	35	51	48	0
119	34	0	0	1	0	33635	14	32000	2	0	52	57	40	0
120	37	1	0	0	0	25346	16	31000	3	0	93	56	39	0
121	34	1	0	1	0	30072	11	39500	1	1	28	58	48	1
122	28	0	0	1	0	30955	7	34500	0	2	46	90	43	1
123	25	0	0	1	0	27254	4	25000	2	0	35	28	33	0
124	44	0	0	1	1	40974	25	45000	2	0	73	55	53	0
125	39	0	0	0	0	32506	16	31000	0	0	79	98	39	0
